interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food
11/17/16,3,4,muddaub,1,NULL,NULL,1,bicycle;television;solar_panel;table,2,Jan
11/17/16,7,9, muddaub,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec
11/17/16,10,15, burntbricks,1,NULL,NULL,1,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec
11/17/16,7,6, burntbricks,1,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec
11/17/16,7,40,burntbricks,1,NULL,NULL,4,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov
11/17/16,3,3,muddaub,1,NULL,NULL,1,NULL,2,Aug;Sept;Oct
11/17/16,6,38,muddaub,1,no,never,1,motorcyle;cow_plough,3,Nov
11/16/16,12,70,burntbricks,3,yes,never,2,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,2,Jan
11/16/16,8,6,burntbricks,1,no,never,3,television;solar_panel;solar_torch,3,Jan;Dec
12/16/16,12,23,burntbricks,5,no,never,2,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,3,Jan;Oct;Nov;Dec
11/21/16,6,20,sunbricks,1,NULL,NULL,2,radio;cow_plough,2,Oct;Nov
11/21/16,7,20,burntbricks,3,yes,never,2,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct
11/21/16,6,8,burntbricks,1,no,never,3,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov
11/21/16,10,20,burntbricks,3,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov
11/21/16,5,30,sunbricks,2,yes,once,3,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov
11/24/16,6,47,muddaub,1,NULL,NULL,4,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb
11/21/16,8,20,sunbricks,1,NULL,NULL,1,mobile_phone,2,Nov;Dec
11/21/16,4,20,muddaub,1,NULL,NULL,3,bicycle;mobile_phone,2,Oct;Nov
11/21/16,9,23,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Oct;Nov;Dec
11/21/16,6,1,burntbricks,1,NULL,NULL,1,bicycle;cow_plough;solar_torch,2,Oct;Nov
11/21/16,8,20,burntbricks,1,no,never,3,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec
11/21/16,4,20,muddaub,1,NULL,NULL,1,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec
11/21/16,10,20,burntbricks,4,NULL,NULL,3,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none
11/21/16,6,4,burntbricks,2,no,never,3,radio;table;sofa_set;mobile_phone,2,Nov;Dec
11/21/16,11,6,burntbricks,3,no,never,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct
11/21/16,3,20,burntbricks,2,no,never,2,radio;cow_plough;table;mobile_phone,2,none
11/21/16,7,36,burntbricks,2,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
11/21/16,2,2,muddaub,1,no,more_once,1,NULL,3,Aug;Sept;Oct
11/21/16,7,10,burntbricks,2,yes,frequently,1,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb
11/21/16,7,22,muddaub,2,NULL,NULL,1,bicycle;radio;mobile_phone,2,Jan;Feb
11/21/16,3,2,muddaub,1,NULL,NULL,1,NULL,3,none
11/21/16,19,69,muddaub,2,yes,more_once,5,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none
11/21/16,8,34,muddaub,1,no,more_once,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none
11/17/16,8,18,burntbricks,3,yes,more_once,3,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Dec
11/17/16,5,45,muddaub,1,yes,more_once,2,bicycle;cow_plough,3,Jan;Sept;Oct;Nov;Dec
11/17/16,6,23,sunbricks,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none
11/17/16,3,8,burntbricks,1,NULL,NULL,2,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Nov;Dec
11/17/16,10,19,muddaub,1,yes,never,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Nov
11/17/16,6,22,muddaub,1,NULL,NULL,1,NULL,3,Nov
11/17/16,9,23,burntbricks,1,yes,never,1,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Sept;Oct;Nov
11/17/16,7,22,muddaub,1,NULL,NULL,2,motorcyle;bicycle;radio;cow_plough;table,3,Oct;Nov
11/17/16,8,8,sunbricks,1,no,never,3,mobile_phone,3,Jan;Nov;Dec
11/17/16,7,29,muddaub,1,no,never,2,cow_plough;mobile_phone,2,Jan;Feb;Oct;Nov;Dec
11/17/16,2,6,muddaub,1,NULL,NULL,3,radio;solar_torch,2,Jan;Dec
11/17/16,9,7,muddaub,1,no,never,4,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
11/17/16,10,42,burntbricks,2,no,once,2,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,2,Sept;Oct;Nov
11/17/16,2,2,muddaub,1,yes,once,1,solar_torch;mobile_phone,3,none
11/16/16,7,58,muddaub,1,NULL,NULL,3,radio,3,June;July;Aug;Sept;Oct;Nov
11/16/16,6,26,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
11/16/16,6,7,muddaub,1,yes,never,1,solar_torch,2,June;July;Aug;Sept;Oct;Nov;Dec
11/16/16,5,30,muddaub,1,NULL,NULL,1,radio,3,Oct;Nov
11/16/16,11,15,burntbricks,3,no,never,3,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,3,Aug;Sept;Oct;Nov
11/16/16,8,16,burntbricks,3,yes,frequently,2,bicycle;radio;mobile_phone,2,Nov
11/16/16,7,15,muddaub,1,no,never,1,NULL,2,Sept;Oct;Nov
11/16/16,9,23,muddaub,2,NULL,NULL,1,television;cow_plough;mobile_phone,2,Oct;Nov
11/16/16,12,23,burntbricks,2,yes,never,2,motorcyle;bicycle;mobile_phone,3,none
11/16/16,4,27,burntbricks,1,no,never,1,radio,2,none
11/16/16,11,45,burntbricks,3,no,never,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,2,none
11/16/16,2,60,muddaub,3,NULL,NULL,3,NULL,2,none
11/16/16,8,15,burntbricks,2,no,never,4,cow_plough,2,none
11/16/16,10,14,muddaub,1,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Feb;Dec
11/16/16,5,5,muddaub,1,NULL,NULL,1,bicycle;radio;mobile_phone,3,Aug;Sept;Oct;Nov
11/16/16,4,10,muddaub,1,NULL,NULL,1,NULL,3,Jan;Oct;Nov;Dec
11/16/16,6,1,muddaub,1,NULL,NULL,1,bicycle;solar_torch;table;sofa_set;mobile_phone,3,Jan;Feb;Dec
11/16/16,8,20,burntbricks,3,no,once,3,motorcyle;radio;cow_plough;table,3,Jan;Feb;Mar
11/16/16,10,37,burntbricks,3,yes,frequently,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
11/16/16,5,31,burntbricks,2,no,more_once,4,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,none
11/16/16,8,52,burntbricks,3,no,more_once,3,motorcyle;television;sterio;solar_panel;mobile_phone,3,none
11/16/16,4,12,muddaub,1,no,more_once,1,bicycle;radio;solar_torch;mobile_phone,3,none
11/16/16,8,25,burntbricks,2,no,more_once,4,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,2,none
11/18/16,6,14,burntbricks,1,yes,more_once,3,radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov
11/16/16,4,18,burntbricks,8,NULL,NULL,1,mobile_phone,2,Aug;Sept;Oct
11/23/16,5,25,burntbricks,2,no,never,5,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,Jan;Oct;Nov
11/24/16,10,16,burntbricks,1,yes,once,3,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone,3,none
11/24/16,5,41,burntbricks,1,NULL,NULL,1,NULL,2,Oct;Nov
11/24/16,4,4,burntbricks,1,NULL,NULL,1,electricity,2,Jan;Sept;Oct;Nov;Dec
11/25/16,5,79,burntbricks,2,yes,frequently,3,radio;cow_plough;solar_panel;mobile_phone,3,none
11/25/16,10,13,sunbricks,1,no,more_once,2,motorcyle;television;cow_plough;solar_panel;mobile_phone,3,Nov
11/25/16,7,50,muddaub,1,no,never,3,cow_plough;solar_panel,3,Oct;Nov
11/25/16,11,25,sunbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,3,none
11/25/16,7,21,muddaub,3,no,more_once,2,solar_panel,3,Jan;Feb;Nov;Dec
11/28/16,7,24,muddaub,1,no,more_once,2,cow_plough;mobile_phone,3,none
11/28/16,5,43,muddaub,2,yes,more_once,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
11/28/16,5,48,burntbricks,1,no,never,3,cow_cart;bicycle;radio;cow_plough;solar_torch,2,Sept;Oct;Nov
11/28/16,7,49,burntbricks,2,yes,more_once,3,radio;cow_plough;mobile_phone,3,none
11/28/16,5,19,burntbricks,2,no,more_once,3,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,2,Nov
11/28/16,3,49,burntbricks,1,no,never,1,NULL,3,Nov
11/21/16,4,6,muddaub,2,NULL,NULL,2,bicycle;radio;solar_torch;mobile_phone,2,Oct;Nov;Dec
11/17/16,12,12,burntbricks,4,yes,more_once,3,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Mar;Oct;Nov;Dec
4/26/17,6,24,muddaub,1,yes,more_once,3,bicycle;radio;cow_plough,2,Jan;Aug;Sept;Oct;Nov;Dec
4/26/17,7,9,burntbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Sept;Oct
4/26/17,17,48,burntbricks,2,yes,more_once,4,bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none
4/27/17,5,22,burntbricks,1,yes,never,2,radio;cow_plough;solar_torch,2,Aug;Sept;Oct
4/27/17,7,40,sunbricks,1,no,never,2,radio;cow_plough,2,Oct;Nov
4/27/17,5,10,burntbricks,2,no,never,3,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov
4/27/17,3,4,muddaub,1,no,never,1,bicycle;solar_torch,3,Sept;Oct;Nov
4/27/17,6,96,sunbricks,1,no,never,5,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,3,Jan;Feb;Dec
4/28/17,12,15,burntbricks,2,yes,frequently,2,cow_plough;table;sofa_set;mobile_phone,3,Jan;Feb
4/28/17,6,48,burntbricks,1,no,more_once,2,cow_plough,2,Aug;Sept;Oct
4/28/17,5,12,muddaub,1,no,more_once,1,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch,3,none
4/28/17,14,52,sunbricks,1,yes,never,4,cow_cart;bicycle;cow_plough,3,Jan;Feb;Dec
4/28/17,6,40,sunbricks,1,yes,frequently,2,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,Jan;Feb;Dec
4/30/17,15,22,sunbricks,5,no,never,2,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov;Dec
5/3/17,4,12,sunbricks,1,NULL,NULL,3,cow_cart;bicycle;radio;cow_plough;table,3,July;Aug;Sept;Oct;Nov
5/3/17,6,22,sunbricks,3,no,never,3,bicycle;radio;cow_plough;table;mobile_phone,2,none
5/3/17,11,26,burntbricks,3,no,never,4,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
5/4/17,5,25,muddaub,1,NULL,NULL,1,radio;solar_torch;mobile_phone,3,Oct;Nov;Dec
5/4/17,5,14,burntbricks,1,no,more_once,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Sept;Oct;Nov;Dec
5/4/17,3,14,muddaub,1,no,never,4,bicycle;cow_plough;solar_panel;mobile_phone,3,none
5/11/17,4,16,sunbricks,2,NULL,NULL,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
5/11/17,15,22,burntbricks,2,no,never,4,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Aug;Sept;Oct;Nov
5/11/17,5,25,burntbricks,3,NULL,NULL,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
5/11/17,10,28,muddaub,4,NULL,NULL,1,motorcyle;television;radio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Nov;Dec
5/18/17,7,5,burntbricks,4,no,frequently,4,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,none
5/18/17,10,24,burntbricks,2,no,frequently,3,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone,3,Jan;Dec
5/18/17,7,8,muddaub,1,no,never,1,mobile_phone,3,Sept;Oct;Nov
5/18/17,4,24,sunbricks,1,no,never,1,radio;solar_panel;solar_torch,3,Sept;Oct;Nov
6/3/17,7,13,burntbricks,2,yes,frequently,2,cow_cart;cow_plough;solar_torch;mobile_phone,2,Nov
6/3/17,9,14,burntbricks,1,no,never,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none
6/3/17,11,16,muddaub,1,no,never,1,bicycle;solar_torch;mobile_phone,2,Feb;Mar
6/3/17,8,24,muddaub,1,no,never,3,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Nov;Dec
6/3/17,12,25,burntbricks,2,no,never,3,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge,3,Jan;Feb;Dec
6/3/17,7,36,burntbricks,1,no,never,4,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,2,Jan;Oct;Nov;Dec
6/3/17,15,16,sunbricks,1,no,never,3,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,3,Nov
6/3/17,10,5,burntbricks,4,no,never,1,radio;cow_plough;solar_panel;solar_torch;mobile_phone,2,Oct;Nov;Dec
6/3/17,9,20,burntbricks,1,no,once,1,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
5/18/17,3,7,burntbricks,1,no,more_once,3,motorcyle;radio;solar_panel,3,Oct;Nov;Dec
6/4/17,7,10,cement,3,no,more_once,3,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none
6/4/17,4,5,muddaub,1,no,more_once,1,radio;solar_panel;solar_torch;mobile_phone,3,Sept;Oct;Nov
6/4/17,7,17,burntbricks,2,yes,more_once,2,cow_cart;lorry;motorcyle;computer;television;radio;sterio;cow_plough;solar_panel;solar_torch;electricity;mobile_phone,3,Nov;Dec
6/4/17,8,20,burntbricks,2,NULL,NULL,3,radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov