LNP_Percent,State,Population,Area,Age65plus,AverageHouseholdSize,Immigrant,Professional
41.54,ACT,196037,2004.273,14.57071879,2.5,15.71985239,30.44689415
36.11,ACT,202955,460.3633,10.74671725,2.6,21.85161169,30.35350906
51.44,NSW,155806,49.446,16.10656842,2.8,31.69361453,23.53426466
41.7,NSW,172850,39.6466,14.28695401,2.8,40.43885123,24.37071353
59.72,NSW,168948,58.6052,14.33281246,2.7,41.89357769,34.03801113
66.45,NSW,145136,749.6359,16.9909602,3,21.55648452,31.53555669
30.52,NSW,174634,61.1166,12.07611347,3.2,39.44183618,16.1384403
71.04,NSW,160255,98.3974,17.03659792,2.9,31.38884724,38.76229726
61.81,NSW,161298,32417.3417,18.53463775,2.5,3.912296613,17.04922873
30.81,NSW,171249,129.3806,10.89758188,3.2,37.09701711,14.94755862
65.39,NSW,139062,64.433,18.86496671,2.6,11.93201655,23.72280722
62.58,NSW,159321,7770.764,24.78329913,2.3,3.730574794,18.9849435
36.68,NSW,155380,1026.2288,17.36967435,2.5,11.22291187,25.95888309
45.19,NSW,154067,716.3126,19.66741742,2.6,4.122923475,16.58506543
47.07,NSW,147532,41312.3947,18.74034108,2.4,5.92247116,17.6119533
70.53,NSW,163980,126818.3094,20.1481888,2.4,6.660743529,14.83916084
32.51,NSW,164235,60.3246,13.39665723,3.2,49.7055707,14.85434141
50.73,NSW,150436,6120.3693,26.68842564,2.3,2.367314112,18.1594961
27.64,NSW,149513,27.0637,11.94745607,2.4,22.08234915,38.2815627
43.69,NSW,170067,80.4886,9.909623854,3.1,34.96309532,23.04382276
59.33,NSW,144289,323.7042,14.36561346,2.9,10.68351568,23.81218781
60.18,NSW,150643,18759.7437,15.6455992,2.8,3.852176703,15.81655112
37.54,NSW,156796,9987.0834,18.23962346,2.6,3.743111142,14.4083516
41.43,NSW,176238,57.6527,13.25537058,2.5,33.8584671,31.12662691
48.89,NSW,166528,349.1732,12.08685626,2.8,12.59279517,15.23406506
61.63,NSW,145480,16049.8232,27.59004674,2.3,1.678837316,16.54838648
41.67,NSW,162017,375.9412,11.07723264,3,20.73257755,15.16560691
65.74,NSW,148613,212.4568,18.895386,2.8,10.10512596,25.78300675
47.81,NSW,141439,3616.5619,17.12823196,2.6,3.85802742,22.08039906
67.82,NSW,153449,98.4496,13.68923877,3.1,26.64375146,29.538271
66.42,NSW,154184,65448.3965,19.99688684,2.4,4.480084806,16.72668571
36.16,NSW,152948,163.9201,15.49088579,2.4,8.138173904,27.9568855
63.61,NSW,161526,41.6454,14.42925597,2.4,27.75054348,41.82247316
52.3,NSW,159107,19312.4908,21.99337553,2.4,3.697186756,17.1786455
65.1,NSW,153769,393579.6705,18.43869701,2.4,3.711069423,14.90767012
42.33,NSW,186320,56.4764,10.75783598,2.8,47.72414033,28.31289995
54.69,NSW,181347,48.8519,12.50971894,2.7,46.01039037,31.73217209
46.04,NSW,152913,2138.3118,23.56961148,2.4,5.283089554,19.91944224
51.14,NSW,143103,892.2777,21.60821227,2.5,4.97695225,21.92395159
40.06,NSW,144482,204.2522,20.99223433,2.5,3.007055891,19.68623156
34.69,NSW,200181,41.3143,7.745490331,2.1,43.22802746,37.43460621
36.28,NSW,152280,972.9507,19.86340951,2.6,3.916149763,15.75612635
61.09,NSW,147333,52.2796,15.05976258,2.5,13.82723432,34.70336139
67.75,NSW,145949,28.3334,15.25875477,2.3,23.12019904,40.7214205
41.8,NSW,170909,169.6371,10.11825006,3.4,36.50205792,16.10399247
57.07,QLD,147010,537.167,17.8171553,2.6,7.621184573,17.15311823
55.92,QLD,163886,58.4653,9.62376286,2.3,21.35816025,35.60954447
50.63,QLD,150720,94179.9956,14.10363588,2.5,6.493532091,14.4702339
53.34,QLD,156313,11515.5774,14.29631573,2.5,8.965134338,15.23274744
61.05,QLD,169600,396.0948,16.29127358,2.6,17.97130419,16.64473345
60.89,QLD,153463,1049.4682,19.24698462,2.5,7.003772867,20.12203113
59.06,QLD,140166,1154.5794,21.5886877,2.5,6.62023628,18.00178235
50.63,QLD,165538,426.5838,12.72155034,2.9,15.72736819,13.46827559
48.4,QLD,157602,55.4296,9.996700549,2.4,19.25606955,34.15132455
65.31,QLD,148866,5665.755,17.13151425,2.5,7.878721922,19.2537807
49.98,QLD,159998,1128.1617,11.72514656,2.5,8.410694385,18.51158085
58.42,QLD,141716,3489.9734,25.47842163,2.3,4.960292734,16.51889014
56.86,QLD,155394,582413.7622,17.10040285,2.5,8.290210255,13.02153276
53.95,QLD,175449,133076.0265,12.13743025,2.5,13.3704192,19.35884787
44.68,QLD,155375,142.7086,15.10217216,2.5,16.59797337,25.29688806
67.54,QLD,149266,729809.7766,19.4062948,2.4,4.718548274,12.00663039
61.64,QLD,151581,230.9998,17.78191198,2.5,13.72663954,20.42194564
64.94,QLD,160734,91.9129,18.43293889,2.3,22.91088512,18.86171962
45.98,QLD,158071,109.6342,12.69619348,2.8,34.65315605,28.87427196
40.92,QLD,163208,153.0437,10.20905838,2.9,27.49505449,19.63160243
51.65,QLD,163268,147.4284,16.91635838,2.6,14.35422204,18.14918229
38.7,QLD,179170,130.9693,10.30083161,3,30.40311137,16.35546022
59.09,QLD,155349,428.0442,13.29265074,2.7,17.45724811,36.61736486
58.14,QLD,144098,14527.2915,23.23071798,2.4,4.33485673,15.37055531
45.35,SA,163442,76.0361,15.31491294,2.3,22.18514618,33.23246684
65.19,SA,149502,58548.5473,20.69336865,2.3,4.113476615,11.69978929
53.5,SA,145836,134.7288,19.53564278,2.5,7.652028339,28.54945884
58.63,SA,143526,908519.0441,20.73073868,2.3,1.230389126,13.30229002
49.42,SA,151243,77.4456,20.3354866,2.3,14.32576205,23.70550501
32.95,SA,147908,176.5828,16.56299862,2.5,-2.129704013,14.6646457
40.35,SA,149513,130.6741,16.98246975,2.5,7.163547226,17.52210605
55.35,SA,140367,9358.1257,22.33502176,2.5,-1.73867971,21.00872143
30.09,SA,165086,176.7684,14.54817489,2.5,18.5436866,15.17070757
55.89,SA,149164,85.3414,20.82741144,2.4,21.7027028,29.29407602
39.03,SA,168212,6991.6137,14.83068984,2.6,1.723933409,11.45984968
43.91,TAS,101390,7452.8871,18.83913601,2.3,4.752988514,19.0972788
47.8,TAS,97058,20869.6931,20.59902326,2.3,1.772107281,13.56943387
34.66,TAS,102573,295.3677,17.39736578,2.3,10.11523386,26.98018197
39.28,TAS,104446,2769.1276,19.41481723,2.4,2.291490682,21.12196279
47.69,TAS,103510,36630.7852,20.70427978,2.4,0.557122472,11.82897287
58.59,VIC,136018,103.4133,15.14358394,2.8,22.6074077,21.14638911
42.68,VIC,154483,4627.2702,17.49966016,2.4,4.315612112,20.04938921
28.25,VIC,161964,66.4352,14.32911017,2.5,24.84070953,31.32252363
46.26,VIC,150431,6252.0908,18.88374072,2.4,3.836270078,21.15115784
45.92,VIC,157011,72.9999,17.36502538,2.8,45.69777627,22.65352796
32.13,VIC,165406,162.1677,12.00016928,3.1,29.35821775,14.46269216
56.06,VIC,142766,2348.8279,15.85111301,2.7,5.173610221,16.54477422
51.24,VIC,164433,64.7179,16.01503348,2.6,40.23148086,31.53966086
53.13,VIC,152740,7691.9191,18.47976954,2.5,4.282037373,22.19296649
40.01,VIC,149914,936.4826,18.80344731,2.4,7.505281779,18.41515774
55.68,VIC,146767,69.961,17.910702,2.6,21.81246767,28.26847055
51.43,VIC,146381,155.0398,19.00314932,2.5,4.205359411,19.05868335
57.77,VIC,153498,1994.2532,23.30584112,2.4,1.386387831,15.72651351
31.77,VIC,165873,100.6851,13.49225009,2.5,27.38806873,26.18254412
68.43,VIC,143033,33008.4039,21.75022547,2.3,4.568217463,15.56973438
62.68,VIC,147627,50.6625,17.82871697,2.6,17.25389181,34.03008976
60.69,VIC,153942,40.0019,14.6295358,2.3,24.69425091,38.89990696
35.83,VIC,199864,129.5571,9.709102189,3.1,33.13808146,13.53895702
42.52,VIC,151282,74.0984,16.47849711,2.7,35.74468431,22.96224533
54.4,VIC,140183,28842.313,20.94833182,2.3,4.150800308,16.1852011
44.27,VIC,158654,155.1207,14.60662826,2.7,21.98946662,20.47666205
45.33,VIC,141301,127.9928,16.50448334,2.6,12.79075292,30.52525832
63.34,VIC,145399,52.4187,16.38181831,2.6,24.66033222,39.31338892
36.56,VIC,231979,547.187,7.78734282,3,35.95559676,18.39437183
51.46,VIC,156965,517.3437,11.96126525,2.9,12.90686441,19.88275153
71.32,VIC,138592,73888.3593,21.47021473,2.3,5.56182113,14.6959143
37.69,VIC,166417,72.5146,15.65465067,2.7,34.70033193,22.81601919
42.15,VIC,210531,4670.3368,10.66398773,2.9,13.9500017,16.28870322
56.03,VIC,167328,8412.3792,18.80199369,2.5,6.214109381,14.42323814
33.43,VIC,208593,46.5391,7.934110924,2.1,41.7293561,40.21506794
60.56,VIC,137535,126.2593,19.98618533,2.8,27.05225822,27.55201939
48.62,VIC,160699,40.0184,12.11706358,2.1,27.44912949,38.46179764
74.9,VIC,145366,19049.2225,21.48026361,2.4,6.693698688,14.65845649
32.72,VIC,167966,160.0911,13.39437743,2.9,26.74364771,17.3131017
58.96,VIC,133772,32220.0874,21.9410639,2.3,3.244197598,14.71330315
28.77,VIC,169649,56.8549,13.76606994,2.5,25.14461712,31.23021257
38.57,WA,164031,377.7019,11.58744384,2.7,6.08771184,13.57704172
56.79,WA,146019,6172.0892,19.36460324,2.6,2.759893325,13.47765594
49.32,WA,147538,178.8653,11.80577207,2.9,18.91947214,15.67763781
70.7,WA,143086,86.7006,16.50545826,2.4,16.98937296,39.34010152
62.56,WA,147768,11066.9407,16.63350658,2.5,5.776099657,15.00265655
42.48,WA,148744,194.2373,13.40961652,2.5,15.53294382,24.53560477
61.02,WA,140258,89.8495,13.45591695,2.8,2.453553891,23.48693403
65.04,WA,156323,866981.3533,16.56634021,2.4,7.575589982,13.09970257
53.63,WA,181763,13227.6436,10.66993833,2.8,7.752483048,13.99505249
46.67,WA,151089,75.4167,13.78260495,2.3,24.99321817,30.18573874
56.12,WA,147992,74.1177,15.74882426,2.4,27.34117519,23.92840585
53.59,WA,163202,123.707,13.29640568,2.4,30.79163807,25.09455347
61.07,WA,136038,72.5547,17.81340508,2.7,22.96957568,29.98077254
39.26,NSW,155634,1076.3151,18.53451045,2.5,3.040663428,14.44701211
66.44,NSW,155793,48941.9263,19.61384658,2.4,4.009358454,16.03537609
32.42,NSW,174806,47.6845,12.90230312,3,41.11859449,19.89682393
51.6,QLD,146217,720.9737,12.68662331,2.8,8.329352806,20.20963842
49.21,QLD,160594,1247.5,17.0560544,2.7,7.336870384,12.22603363
41.12,QLD,156319,6403.066,13.18329826,2.7,8.991830822,13.69311685
52.05,WA,143626,1201.4022,15.21660424,2.7,12.78425208,17.07305957
41.58,NT,114545,1348012.764,6.649788293,3.1,9.295609923,19.3028863
44,NT,114120,231.4156,7.612162636,2.7,22.70906164,20.53713264
30.55,VIC,194692,561.6044,8.989069916,3.1,30.06342507,14.40018966
53.39,QLD,149636,375.2379,14.70769066,2.7,18.92420454,25.43938283
51.04,QLD,155488,132931.674,13.04087775,2.6,7.695391432,11.81725408
61.06,WA,181764,1626549.828,10.00583174,2.6,10.29460533,13.89525427
37.89,NSW,165693,163.1994,12.89010399,3.1,34.81844109,15.40680297
59.62,QLD,156437,7574.7826,14.53108919,2.9,7.295227488,14.0622567
42.89,WA,168783,173.8312,10.84350912,2.8,24.74970051,16.32403774