Department,Rank_Code,Gender,Salary_9_mo,Avg_Cont_Grants
CCE E,2,M,87380,16666.66667
EEOBS,1,M,72276,0
EEOBS,3,M,58356,11666.66667
IMSE,2,M,64294,0
COM S,3,M,77168,0
AN S,2,M,59797.63577,415871.3333
E CPE,2,M,89775,0
FSHNF,2,F,64786,427231.3333
MATH,2,M,64321,0
AGRON,3,M,54284.72673,388192.3333
COM S,2,M,94050,340321
BBMBA,2,F,62744,79949
PHYSA,1,M,86634,2000
AN S,1,M,110790.8171,77354
AGRON,1,M,73749.27199,5463.333333
BBMBS,2,F,62529,143722
EEOBA,2,M,72034,25107
A B E,2,M,75000,0
CHEM,1,M,130598.1805,205490.6667
CHEM,1,M,168700,225141
HORT,2,M,59353.36304,7102.666667
AGRON,1,M,74257,256534
NREM,3,F,64767,33525
MATH,2,M,65242,500741.6667
NREM,1,M,79883.9992,17673
STAT,1,M,127066,25000
AN S,2,F,58769.18123,0
MATH,3,F,52071,0
AN S,2,M,65785.09025,44162
CHEM,3,M,56000,0
CCE E,2,F,82592,0
STAT,1,M,69340.9084,0
A B E,1,M,96545.45358,927240
AGRON,1,M,63920.45391,0
E CPE,2,M,71549,70503.66667
CHEM,1,M,157671.8166,26664781.67
GDCBS,3,F,57978,70000
AER E,3,M,71368,237474
COM S,3,M,77000,0
A B E,2,M,77363.18104,573537
M E,3,F,73207,197421
PL P,2,M,57849.54488,994182
BBMBA,2,M,70632,1469662
PL P,2,F,63978,91666.66667
FSHNF,3,M,54818.18127,0
AGRON,2,M,60372,192831.6667
ENT,3,M,53175.2722,0
BBMBA,1,M,105510.2717,236407.3333
GE AT,2,M,61552,176189.3333
AN S,1,M,64849.90844,600
MATH,1,M,69216,942009
E CPE,2,M,87075,154780.3333
A B E,1,M,95678.18086,77611
M E,1,M,148709,1336530.333
NREM,1,M,78239.45376,46414.66667
AGRON,2,M,61029.81757,135708.3333
A B E,3,M,55861.36308,92275.33333
AGRON,1,M,79087.09012,1169018
PL P,3,M,58472,137976.3333
CCE E,3,M,67769,0
STAT,1,M,105000,24333.33333
ENT,2,F,63752.72664,311540.3333
PHYSA,1,M,98340,0
MATH,3,M,55000,0
E CPE,1,M,92255,1738604
FSHNA,3,F,60128,246416
AN S,1,M,66251.45388,0
PL P,1,M,85954,179685.3333
AN S,3,M,51257,0
GDCBS,1,M,96364,1023689.667
CH E,1,M,123937,2330706.333
A B E,3,M,61772.72666,35085.33333
AGRON,2,M,68304.27204,230294
M E,3,M,79485,1034352
M E,2,M,74482,0
A B E,1,M,80999.99919,237107.3333
GE AT,2,M,65008,81580.33333
MATH,3,M,51105,0
BBMBS,2,F,63310,133799.6667
COM S,3,M,77000,0
AGRON,1,M,84096,0
PHYSA,1,M,83246,0
M S E,2,M,77090,1663409.333
M E,3,F,70277,233614.6667
STAT,3,F,64000,0
STAT,1,F,90495,55523.66667
PHYSA,1,M,76260,1167574.667
GE AT,3,F,58000,43690
CCE E,3,M,62129,0
AER E,1,M,118063,112474
E CPE,2,M,89775,0
HORT,1,M,115168.9079,47859.66667
COM S,2,F,82254,124892.3333
IMSE,1,M,78467,0
E CPE,2,M,84150,126000
GE AT,1,M,83833,106513.3333
AER E,1,M,117295,1444633.333
COM S,3,M,72948,33170
HORT,1,M,90359.9991,201954.6667
E CPE,3,M,78750,0
M S E,1,M,89070,0
AGRON,1,F,70326.81748,262158
EEOBS,1,F,71162,39960.33333
EEOBA,1,M,74273.72653,46033.66667
PHYSA,3,M,59225,0
EEOBS,2,M,64579,103336.6667
NREM,2,M,66301.36297,505112.3333
M E,1,M,83376,88665.33333
M S E,3,M,68103,285670
M S E,2,F,94042,0
M S E,2,M,95850,164940.6667
STAT,2,F,70442,853175.6667
CHEM,1,M,74454.54471,137166.6667
AN S,1,M,94769.18087,398958.6667
CCE E,3,M,65000,146144.3333
ENT,2,M,51369.54494,99986
PHYSA,1,M,91770,0
EEOBS,2,M,70158,514679
AGRON,1,M,76777.36287,19746.66667
IMSE,2,F,108827,1806712.667
BBMBS,3,F,54501,207055.6667
MATH,1,M,80710,0
E CPE,1,M,136350,511423.6667
MATH,3,M,60717,26434.66667
E CPE,3,M,76500,0
EEOBA,2,M,54992.454,2000
E CPE,2,F,39000,34502.33333
E CPE,2,M,99800,982002.6667
AER E,2,M,76457,4245.666667
EEOBA,2,F,55513.63581,42104
AGRON,2,M,64333.63572,0
AN S,1,M,73552.09017,368509
HORT,3,F,53478.81765,609413.6667
M E,1,M,121273,284540
ENT,1,M,91776.27181,419123.6667
E CPE,2,F,84150,1413437.333
AN S,1,M,112663.6352,839852
BBMBA,2,M,63057,1544746
STAT,1,M,70789.0902,580182
GDCBS,2,F,70747,81540
E CPE,3,M,76950,0
GDCBS,1,M,77793.54468,0
HORT,1,M,66976.36297,170372.3333
GDCBS,3,F,59219,104607
EEOBA,1,M,78706.63558,747745.3333
EEOBS,1,M,71101.63565,2666.666667
STAT,3,M,60700,24992
E CPE,3,M,79290,125000
CCE E,2,M,74561,1516978.333
MATH,3,M,59850,33569.33333
GDCBS,1,M,148874,67119.33333
CHEM,1,M,121990.9079,46666.66667
COM S,3,M,78500,43350
MATH,1,M,77097,295846.3333
STAT,3,M,69659,38459.66667
NREM,2,F,62000,0
GE AT,3,M,55085,10221.66667
CCE E,1,M,92541,74158
EEOBS,2,F,59897,0
AGRON,1,M,134181.8168,1446668
HORT,3,M,51566.72676,0
COM S,1,M,98436,36790.33333
AN S,1,M,81257.72646,154110.6667
FSHNF,1,M,91561,291515.6667
M E,2,M,85785,3404
FSHNA,2,M,64964,1020288.333
CH E,1,M,98969,295652.6667
IMSE,3,M,62500,0
A B E,2,M,58000,0
STAT,3,F,60700,24992
BBMBA,1,M,118476,471899.3333
COM S,2,M,80517,0
GE AT,2,M,56868,232885
MATH,1,M,81783,0
E CPE,1,M,133200,325496
IMSE,2,M,78349,63000.66667
M S E,1,M,102877,61283.66667
AGRON,3,M,55469.45399,0
BBMBS,2,M,67595.7266,0
HORT,2,M,68265.8175,833.3333333
A B E,2,M,66500.18115,41670.66667
FSHNA,1,F,104246,170687
PL P,1,M,64550.4539,582895.6667
M S E,2,M,91929,358737.6667
AGRON,3,F,52074.81766,0
PHYSA,1,M,96407,45210.33333
PHYSA,3,M,59085,7553.666667
CH E,3,M,73500,0
CHEM,1,M,117400,709062.3333
E CPE,3,M,79650,66666.66667
HORT,1,M,87925.90821,20145.33333
CHEM,1,M,79535,231685
MATH,2,M,56417,0
M S E,1,M,99003.27174,1411666.667
CCE E,2,M,69678,77964.66667
GDCBA,2,M,97500,599164.3333
E CPE,3,M,76500,0
GE AT,1,M,67707,225714
AER E,3,M,66058,196450.6667
NREM,1,M,82254.2719,67968.33333
CCE E,3,F,72962,158691.6667
AGRON,3,M,51754.90857,502141.3333
HORT,2,M,63834.54482,406825.6667
FSHNF,3,F,55922,0
MATH,2,M,62523,33569.33333
GE AT,3,M,60000,0
BBMBS,2,M,62112,128333.3333
PHYSA,1,M,138608.1804,265963.3333
A B E,2,M,62999.99937,143272
PL P,1,M,88372.63548,201205.6667
AN S,1,M,110209.908,450904.3333
AGRON,1,M,65175.5448,168928.3333
PHYSA,1,M,72075,1294554.667
HORT,3,F,50270.72677,33289.66667
CH E,1,M,86639,0
M E,2,M,76408,260148.3333
IMSE,1,F,85535,15922.33333
A B E,3,M,55636.36308,0
GDCBS,1,M,34908,0
AGRON,3,M,46322.18135,1486425
MATH,1,M,76808,0
CH E,1,M,91003.09,4500
PHYSA,1,M,102010,932664.6667
PL P,1,M,79041.27194,0
AER E,2,M,75647,0
CH E,2,M,84500,0
AER E,2,M,94484,5645.666667
PHYSA,1,M,106966.6353,68666.66667
PHYSA,1,M,67870,0
A B E,2,M,71381.45383,285152.3333
CHEM,1,M,127773,19632.33333
AN S,1,M,71853.54474,0
STAT,3,F,59700,0
MATH,2,F,57248,102670
ENT,2,M,61740.81756,0
COM S,1,M,99578,699376.3333
AN S,1,M,76319.99924,210745.3333
CHEM,2,F,75300,207599.3333
BBMBS,1,M,71365.90838,436502.6667
AGRON,3,M,62000,0
GDCBS,1,M,83701.63553,17250
AGRON,1,M,81962.181,217097.3333
MATH,1,M,95871,0
CHEM,1,M,76009.09015,99352.33333
BBMBA,1,M,155877,250800
STAT,3,F,59350,0
COM S,2,M,89322,107128.3333
AN S,2,M,56019.27217,30000
A B E,1,M,79385.72648,251260.3333
HORT,2,M,73384.3629,40935.33333
GDCBS,2,M,73439,0
AER E,1,M,106250,8540.333333
STAT,1,M,119841,621839.3333
GE AT,2,M,75171,135200.6667
IMSE,2,M,84635,121660.3333
E CPE,2,M,91800,1005343
AER E,3,M,64312,0
CCE E,2,M,94645,274072.3333
FSHNA,1,F,74461,352862.6667
AGRON,3,M,50650.36313,157729
EEOBA,2,M,66797,215593
CCE E,2,M,76125,279069.3333
CHEM,2,M,68100,134666.6667
BBMBA,1,M,146302,104913.6667
COM S,3,M,78500,38058.66667
M S E,1,M,100538.999,1558884.667
BBMBS,1,M,79738,472878.3333
BBMBS,1,F,79738,396556.6667
FSHNA,1,M,102166.3626,1404100.667
PHYSA,1,M,123930,0
MATH,1,M,75459,0
CH E,1,M,83483,0
NREM,1,M,81210.27192,0
ENT,2,M,51622.36312,51070
EEOBS,2,M,58498,75000
STAT,1,M,76650,837091.3333
A B E,3,F,65000,0
E CPE,1,M,96255,84662
CCE E,1,M,89749,5285.666667
FSHNF,1,M,71647.36292,0
PHYSA,1,M,83955,119634
MATH,2,M,61376,0
AER E,2,M,85882,918039
AN S,1,M,94139.18088,3896.666667
PHYSA,3,M,58000,0
AGRON,1,M,71855.99928,122401.6667
AN S,1,M,67819.09023,0
E CPE,2,M,91000,0
CCE E,1,M,128276,277299.3333
E CPE,2,M,59942,0
AGRON,2,M,69076.63567,0
AN S,3,F,62658,48666.66667
CHEM,1,M,71754.54474,76223.33333
E CPE,1,M,110025,152390.3333
CHEM,1,M,98754.54447,1146669
PHYSA,2,M,66825,106241.3333
E CPE,2,M,78840,0
E CPE,2,M,91800,89350.66667
NREM,2,M,60572.45394,1485473
STAT,1,M,92600,107959.6667
PHYSA,2,M,61510,510333.3333
AGRON,1,M,136480,402291.3333
CH E,3,F,73500,0
E CPE,1,M,93609,1333.333333
AN S,1,F,111459.2716,397852.6667
CHEM,1,M,92290.90817,270000
STAT,3,M,62000,0
HORT,3,F,60504,0
COM S,1,M,99642,130628
AGRON,1,M,71732.45383,625294.3333
MATH,1,M,120173,2666.666667
ENT,1,M,80922.27192,339787
MATH,1,M,71703,0
AGRON,1,M,62232.54483,297245
CHEM,3,M,57200,0
FSHNF,3,F,51737.72676,37961.66667
MATH,2,M,61500,0
AN S,3,F,54276.54491,0
AN S,3,M,52860.2722,316248.6667
MATH,3,F,55000,0
A B E,2,M,59453.99941,305772.6667
FSHNA,2,F,31582,60450.33333
FSHNF,2,M,53621,0
AN S,1,M,68910.54477,477034.3333
AGRON,1,M,89396.18092,606519
AER E,1,M,86891,158264
PHYSA,1,M,101803.9081,0
MATH,1,M,96682.90812,205333.3333
M E,2,M,82194,670574
COM S,3,M,78353,0
COM S,1,M,123891,84967.33333
COM S,2,F,45380,108017
E CPE,3,M,76500,0
AN S,1,M,110066.7262,35845.33333
BBMBS,3,M,54000,0
FSHNF,2,F,51346.63585,0
MATH,1,M,70201,73850.33333
STAT,2,M,67200,543944
STAT,2,M,81000,0
CH E,2,F,86381,378762.6667
AGRON,1,M,60849.81757,491188
M E,2,M,80408,63228.33333
AGRON,2,M,64741.09026,7846.666667
STAT,2,M,54451.63582,0
COM S,3,M,77360,0
AN S,1,M,116070.5443,255528.6667
FSHNA,3,F,57561,250160.6667
M S E,1,M,79570,0
MATH,3,M,55000,0
M S E,1,M,85436.99915,1915790.333
M E,2,M,79555,195466.3333
CCE E,1,M,136351,0
E CPE,1,M,95850,217431.3333
GDCBS,2,M,67000,0
AER E,1,M,86108,0
PL P,1,M,77865,16366.66667
PHYSA,3,M,63000,0
STAT,1,M,128664,4597634
IMSE,2,M,72254,0
PHYSA,3,M,59175,68287.66667
A B E,1,M,55488.27217,757877
FSHNA,3,M,57348,910631.6667
NREM,1,M,93660.54452,119216
NREM,3,M,56099,0
COM S,1,M,106318,653426.6667
PL P,1,M,80529.54465,308202.3333
IMSE,2,M,77333,66167.66667
COM S,3,M,78353,0
HORT,2,M,72113.72655,52643.33333
A B E,1,M,131886,95154.33333
AER E,2,M,80567,0
GDCBS,3,M,59500,0
NREM,2,M,64523,177581.6667
M E,1,M,95830,75545
EEOBS,2,M,59977,0
AGRON,1,M,105636.2717,703762.6667
GE AT,3,M,51965,59844.66667
AN S,1,M,71332.36292,802
NREM,2,M,61386.54484,113537.6667
STAT,1,M,107245,18627
AGRON,3,F,51876.81766,0
AGRON,1,M,79769.45375,50284.66667
MATH,1,M,66735,0
FSHNA,1,F,89985,565593.3333
FSHNA,1,M,72628,1213299.667
M S E,3,M,69623,209899
CH E,2,M,82573,75789.33333
IMSE,3,M,67636,21829
EEOBS,2,M,61114,151786.6667
M E,1,M,84765,10000
STAT,2,M,73539,57661
BBMBA,1,M,73757,880510
BBMBA,1,F,92272.90817,0
AN S,1,M,38924,22425.66667
HORT,1,F,71923.90837,153198.3333
BBMBS,3,M,52790,0
STAT,1,F,94875,2069787
PL P,1,M,59288.72668,178116.6667
FSHNF,2,F,63229.09028,746680.6667
PHYSA,2,M,67470,491666.6667
IMSE,3,M,68321,100758.6667
M E,2,M,95350,43250.66667
M E,3,M,71853,132000
CCE E,2,M,77522,122136.6667
STAT,2,M,69700,1165981.333
AGRON,1,M,73394.18108,438164.6667
M E,1,M,97847,27980.33333
E CPE,3,M,66960,0
NREM,3,M,60875.99939,52067.33333
M S E,1,M,84129,1413933.333
AGRON,3,M,54103.90855,0
IMSE,2,M,78888,209801
BBMBS,3,M,54810,0
AGRON,1,M,87592.09003,0
AGRON,1,M,87720,445559.3333
CHEM,1,M,66200,295941.6667
PHYSA,3,M,58000,0
CHEM,3,F,64614,41333.33333
AGRON,3,M,59851.63577,0
FSHNA,1,M,95315,1866665.667
MATH,2,M,60491,0
CH E,1,M,114800,996066.3333
CCE E,1,M,121405,86784
GDCBA,3,F,55200,93333.33333
AN S,2,F,56354.72671,576520
COM S,2,M,92449,0
PHYSA,3,M,59115,0
FSHNF,1,M,64876.90844,61603
M E,3,F,70929,69811
PHYSA,1,M,84170,204000
EEOBS,2,M,59564,204068
AER E,1,M,89751,40863.33333
FSHNF,2,F,57855,27083.33333
AN S,3,M,54319.90855,263708.3333
CH E,1,M,119488,1672120.333
FSHNF,1,F,72183,666037.3333
ENT,1,M,67740.54478,375740.6667
A B E,3,M,58702.09032,1690417.667
AN S,1,M,92065.08999,121408.3333
BBMBS,1,M,85154.72642,1666.666667
CH E,2,M,90492,17500
PHYSA,2,F,61230,527466.6667
AER E,1,M,100744,137001.6667
AN S,1,M,117672.5443,292356.6667
AN S,1,M,82799.18099,1666.666667
E CPE,1,F,102375,226357.3333
ENT,1,M,101894,245879.6667
COM S,3,F,78535,0
AER E,1,M,113487,0
NREM,2,F,51442.36312,50941.66667
M S E,2,M,91201,91513
AN S,1,M,65604.27207,241014
E CPE,2,M,85995,0
IMSE,2,F,84148,93334
MATH,1,M,80995,2666.666667
GDCBS,2,M,66664,100833.3333
E CPE,2,M,89550,239886
AGRON,2,M,61905.27211,23333.33333
GE AT,1,M,63722.45391,0
IMSE,1,M,143772,542787.6667
AER E,2,M,98412,183633.3333
AGRON,2,M,70216.36293,322221
AN S,1,M,126953.9987,79887.33333
CCE E,1,M,100999,2307
FSHNA,3,M,57172,113792.3333
PHYSA,2,M,68705,11666.66667
AER E,1,M,118804,1711663.333
CHEM,2,M,96100,180394.6667
AGRON,1,M,115567.3625,1355222
CH E,1,M,112451,158468
NREM,3,F,59000,0
NREM,1,M,86815.6355,634509.6667
A B E,2,M,60034.90849,37499.66667
FSHNA,1,M,94332.27178,182507
MATH,2,M,59927,23097.33333
CH E,2,M,86650,1562995.333
CH E,1,F,100508,457941.3333
CCE E,3,M,63500,0
FSHNF,1,M,68201,0
E CPE,1,M,111150,159999.6667
STAT,1,M,77074,119240.3333
GDCBS,1,M,24923,0
STAT,2,M,78839,0
CHEM,2,M,76986,241214.6667
PHYSA,1,M,75463.36288,1424635.333
M E,3,M,72000,0
GE AT,2,M,68419,346946
AN S,2,M,68899.09022,0
COM S,1,M,101353,0
CHEM,1,M,113563.6352,114139
MATH,1,M,66270,0
MATH,1,M,76846,0
E CPE,3,M,79470,0
MATH,2,M,58895,0
CHEM,3,M,56600,75333.33333
PHYSA,1,M,93431.45361,61015
CCE E,1,M,87237,803927.6667
AN S,1,M,73069.36291,33130.66667
GE AT,1,M,77120,49544
CCE E,3,M,73967,91925.66667
AN S,3,M,58423.90851,0
AN S,1,M,109384,150855.3333
AN S,3,M,61854.54484,0
PHYSA,1,M,119974.9079,17218.66667
CHEM,3,M,56000,0
HORT,2,M,51823.63585,0
STAT,1,M,79300,24992
A B E,3,M,55636.36308,47805
NREM,3,M,62024,115056
AN S,1,M,78802.36285,0
CCE E,2,M,75796,0
PHYSA,1,M,69225,0
AER E,2,M,81613,102670
M E,3,M,73305,32333
M E,3,M,69421,0
CCE E,2,M,72875,0
GE AT,3,F,51965,13000
AGRON,1,M,85311.81733,491040.3333
HORT,1,M,76607.18105,58784.66667
AGRON,1,M,88593,374783.3333
M S E,3,M,63213,0
AER E,1,M,109638,15000
COM S,3,F,78547,51108
AGRON,1,M,75077.99925,388335.3333
CHEM,1,F,107754.5444,380061.6667
BBMBA,1,M,70964.99929,0
NREM,3,F,52353.81766,21233.33333
GE AT,2,M,60761.45394,275764.6667
M S E,1,M,154942,6697001
BBMBA,1,M,64034.18118,84160
COM S,3,M,77360,0
MATH,2,M,67108,32257
A B E,2,M,60369,78327.66667
AN S,2,M,68058.8175,10166.66667
E CPE,3,M,76500,0
ENT,1,M,76974.54468,222213.3333
MATH,1,M,69422,0
CHEM,1,M,69545.45385,0
PHYSA,3,M,59115,0
AN S,1,M,102985.3626,1043591.667
PHYSA,1,M,72526.09018,0
M S E,1,M,109381,375729
AER E,1,M,82159,0
M S E,1,M,106324,2009021.333
AN S,1,M,64756,941626
E CPE,2,M,88425,375648
COM S,2,M,91800,290512.6667
AN S,2,M,56888.18125,0
PL P,1,M,73455.54472,261635.3333
PHYSA,1,M,71605,1128333.333
CCE E,1,M,108503,0
EEOBS,1,M,98692.36265,209453.6667
HORT,2,F,61363.63575,0
M E,1,M,92176,560907.6667
STAT,1,M,100760,26960.33333
PHYSA,1,M,115125,237155
CHEM,1,M,111109.0898,153908.3333
CH E,2,M,80225,232455.3333
GDCBS,2,M,31464.81787,0
E CPE,1,M,144450,979800.6667
EEOBS,2,F,62584,26365.66667
GDCBA,1,M,79420,977568.6667
EEOBS,2,M,54949,1525
CCE E,3,M,65476,59726
AGRON,2,F,76925,877186
CCE E,3,F,67349,178181
FSHNA,3,F,60944,86799
MATH,2,M,75417,0
E CPE,3,M,76500,0
MATH,3,M,57000,0
E CPE,1,M,133200,805510.3333
MATH,2,M,61101,0
AGRON,2,M,72633.272,453618.3333
PHYSA,1,M,64170,7634.333333
CCE E,3,M,71452,322399.6667
FSHNA,2,F,65942,70921
PL P,3,M,65592,173666.6667
AGRON,2,F,62959.09028,21101
PHYSA,1,F,95275,28940.33333
MATH,1,M,78900,0
EEOBS,3,M,54408,4085.666667
M E,1,M,77272,0
MATH,2,M,44614,0
FSHNA,1,M,74353,226700
GE AT,2,M,68515,0
CCE E,1,M,104734,547290.6667
PHYSA,1,M,118118,56678
COM S,1,M,98404,975907
CHEM,1,M,68100,91496.66667
E CPE,1,M,101700,0
NREM,1,M,71835.54474,215832.6667
MATH,1,M,57835,0
STAT,2,M,65700,21193.66667
GE AT,3,M,56045,56264
MATH,2,M,66712,0
GDCBS,1,F,70716,1377186.333
A B E,1,M,89699,212888
PL P,2,M,54796.90854,271143.3333
STAT,2,M,68186,50000
CHEM,1,M,170590.9074,298857
PHYSA,1,M,84820,0
AN S,2,M,60908.72666,666.6666667
E CPE,3,M,76500,0
CHEM,3,M,57000,0
M S E,3,M,63822,0